Number of leaf symbols,States in tree automata,Standard equivalence queries,Standard time,Advice equivalence queries,Advice time,Approximate time,Approximate tokens,Approximate is_found,Approximate advice time,Approximate advice tokens,Approximate advice is_found,Approximate random check time,Approximate random check tokens,Approximate random check is_found,Approximate counting heuristic time,Approximate counting heuristic tokens,Approximate counting heuristic is_found
3,27,17,0,3,0,4,329064,1,4,388636,1,4,308048,1,4,357969,1
3,27,20,0,1,0,4,965470,1,4,405999,1,4,452002,1,4,405999,1
3,21,12,0,3,0,5,76596,1,3,169443,1,4,57143,1,3,57396,1
3,15,7,0,3,0,3,24765,1,3,32448,1,3,40016,1,3,16890,1
3,27,16,0,4,0,3,127752,1,4,193355,1,4,127684,1,4,143400,1
3,9,7,0,5,0,4,2903,1,4,5495,1,3,4170,1,3,3346,1
3,15,9,0,3,0,3,38975,1,0,23281,0,3,46588,1,4,146336,1
3,21,13,0,7,0,3,142725,1,4,128966,1,3,277981,1,4,195840,1
3,11,7,0,7,0,3,31679,1,3,14118,1,3,17367,1,3,33849,1
4,52,22,0,6,0,3,642775,1,3,1059296,1,3,948355,1,4,1293993,1
3,21,13,0,2,0,3,87208,1,4,239549,1,3,148466,1,4,236546,1
3,27,18,0,2,0,0,81373,0,4,342453,1,4,518082,1,4,535118,1
3,8,5,0,3,0,3,956,1,0,1157,0,3,1007,1,3,1236,1
4,76,33,3,2,4,5,4084089,1,0,31430,0,0,2006,0,6,7240891,1
3,27,14,0,5,0,4,169468,1,3,175172,1,4,247440,1,4,268902,1
3,21,12,0,5,0,3,129996,1,4,119287,1,3,149357,1,4,181561,1
3,24,16,0,3,0,4,111354,1,4,171482,1,4,146867,1,4,175644,1
3,7,6,0,4,0,3,3527,1,3,2462,1,3,4684,1,3,3056,1
3,24,15,0,4,0,4,167956,1,4,270789,1,4,131466,1,0,11379,0
4,148,42,28,1,19,0,255,0,22,41191796,1,20,32736670,1,22,41191796,1
3,7,6,0,6,0,3,2641,1,3,4293,1,3,2072,1,3,1704,1
4,172,47,61,3,31,25,32434981,1,0,19197,0,3,8547523,0,0,9427,0
3,9,8,0,8,0,3,11868,1,4,14009,1,3,15360,1,3,15964,1
4,78,43,7,43,7,9,9644300,1,8,9142684,0,9,9290151,1,8,8410233,0
3,15,9,0,9,0,3,22810,1,3,31265,1,3,22685,1,3,48414,1
3,8,6,0,4,0,3,1242,1,3,2096,1,3,1497,1,4,2844,1
3,23,15,0,4,0,4,137231,1,0,1503,0,3,107557,1,4,228680,1
3,15,10,0,10,0,3,49987,1,3,29446,1,3,48671,1,3,29501,1
3,24,14,0,6,0,3,121262,1,4,184135,1,4,288485,1,4,111374,1
3,15,9,0,2,0,3,35897,1,3,60549,1,3,53665,1,4,40582,1
3,27,22,0,3,0,4,456299,1,4,918036,1,0,37231,0,4,713013,1
4,178,45,69,5,22,27,30725786,1,23,24615360,1,32,49333965,1,23,24580018,1
3,27,21,0,6,0,4,1162690,1,4,418029,1,4,315320,1,4,309208,1
3,24,14,0,4,0,3,149727,1,4,260915,1,4,210314,1,4,470585,1
4,76,35,3,3,5,7,4612016,1,7,6386285,1,6,6723293,1,6,5348149,1
3,24,15,0,5,0,4,122048,1,4,218946,1,3,172213,1,4,359400,1
4,106,43,12,5,15,11,13779466,1,55,124116486,1,5,13333931,0,18,36461626,1
3,8,7,0,2,0,3,6961,1,3,4606,1,3,5053,1,3,8479,1
3,11,9,0,4,0,0,43480,0,3,4980,1,3,4013,1,3,5392,1
3,15,10,0,5,0,3,40948,1,3,60561,1,3,39575,1,3,29824,1
3,21,12,0,3,0,0,7950,0,4,82611,1,3,60435,1,3,60243,1
4,78,28,2,2,5,10,5930152,1,8,10954541,1,10,15501818,1,5,4202624,0
3,11,8,0,8,0,4,18957,1,4,12557,1,4,10756,1,4,13036,1
3,15,11,0,5,0,3,43853,1,4,98800,1,3,104898,1,3,48583,1
3,27,13,0,2,0,4,129606,1,4,152567,1,3,223999,1,3,174341,1
3,15,12,0,1,0,3,34779,1,3,72299,1,3,84265,1,4,72299,1
4,100,40,7,2,7,9,9961750,1,12,21461936,1,13,23288164,1,11,18524900,1
3,27,16,0,4,0,4,344805,1,4,286780,1,4,269861,1,4,282740,1
3,15,8,0,4,0,3,30228,1,3,30285,1,4,20026,1,4,45953,1
3,21,12,0,2,0,4,40038,1,4,118901,1,4,187826,1,4,118873,1
3,22,11,0,4,0,4,167429,1,4,76293,1,3,110244,1,4,66137,1
4,56,16,0,4,0,0,20935,0,4,1230862,1,3,1114102,1,4,1436297,1
3,24,10,0,4,0,0,34376,0,0,5815,0,3,40172,1,0,3643,0
3,24,18,0,5,0,4,187058,1,0,998,0,4,490646,1,4,337328,1
3,21,11,0,1,0,3,88349,1,4,146658,1,3,107471,1,4,146658,1
3,21,14,0,3,0,3,59491,1,4,191747,1,3,54907,1,3,125473,1
3,21,14,0,1,0,3,77697,1,3,84356,1,3,95306,1,3,84356,1
3,17,13,0,7,0,3,73913,1,4,85247,1,3,79621,1,3,56659,1
3,27,15,0,2,0,0,21356,0,4,210777,1,3,188305,1,4,183032,1
3,27,23,0,9,0,4,694332,1,0,56047,0,4,317643,1,4,831914,1
3,27,14,0,2,0,4,301255,1,0,143502,0,4,281269,1,4,358333,1
3,15,10,0,5,0,3,17055,1,3,24520,1,3,68923,1,3,27099,1
